"DOCKEY","DOCNO","DOCTYPE","DOCDATE","POSTDATE","TAXDATE","DESCRIPTION","DESCRIPTION2","PAYMENTMETHOD","AREA","AGENT","PROJECT","JOURNAL","CHEQUENUMBER","CURRENCYCODE","CURRENCYRATE","BANKCHARGE","BANKCHARGEACCOUNT","DOCAMT","LOCALDOCAMT","FROMDOCTYPE","BOUNCEDDATE","GLTRANSID","CANCELLED","DEPOSITKEY","UPDATECOUNT","PRINTCOUNT","ATTACHMENTS","NOTE"
28,PV-00011,PV,2012-12-26,2012-12-26,2012-12-26,CENTURY JUNK ENTERPRISE,,"310-000",----,----,----,BANK,PBB 431460,----,1.00000000,0.00,,4550.00,4550.00,,,5388,F,,3,1,,
31,PV-00012,PV,2012-12-27,2012-12-27,2012-12-27,TG STEEL DESIGN & ENGINEERING,,"310-000",----,----,----,BANK,PBB 431461,----,1.00000000,0.00,,6120.00,6120.00,,,5389,F,,1,1,,
35,CS-00001,OR,2012-12-27,2012-12-27,2012-12-27,CASH,Payment For Account,"310-000",----,NAI,----,BANK,AMB-078135,----,1.00000000,0.00,,340.00,340.00,PM,,1926,F,,8,0,,
38,PV-00013,PV,2012-12-28,2012-12-28,2012-12-28,ULTIMATE COPIER SDN BHD,,"310-000",----,----,----,BANK,PBB 431462,----,1.00000000,0.00,,1305.00,1305.00,,,5390,F,,1,1,,
47,CS-00003,OR,2013-01-03,2013-01-03,2013-01-03,CASH,Payment For Account,"310-000",----,NAI,----,BANK,PBB-398156,----,1.00000000,0.00,,1350.00,1350.00,PM,,1928,F,,3,0,,
44,CS-00002,OR,2012-12-31,2012-12-31,2012-12-31,CASH,Payment For Account,"310-000",----,NAI,----,BANK,"",----,1.00000000,0.00,,150.00,150.00,PM,,1927,F,,2,0,,
52,CS-00004,OR,2013-01-05,2013-01-05,2013-01-05,CASH,Payment For Account,"310-000",----,NAI,----,BANK,"",----,1.00000000,0.00,,420.00,420.00,PM,,1929,F,,4,0,,
55,CS-00005,OR,2013-01-05,2013-01-05,2013-01-05,CASH,Payment For Account,"320-000",----,NAI,----,CASH,"",----,1.00000000,0.00,,300.00,300.00,PM,,1931,F,,4,0,,
60,PV-00016,PV,2013-01-05,2013-01-05,2013-01-05,TOMAC INDUSTRIES SDN BHD,Payment For Account,"310-000",SLG,NAI,----,BANK,PBB-431464,----,1.00000000,0.00,,2112.41,2112.41,SP,,4794,F,,0,2,,
62,CS-00006,OR,2013-01-07,2013-01-07,2013-01-07,CASH,Payment For Account,"310-000",----,NAI,----,BANK,"",----,1.00000000,0.00,,250.00,250.00,PM,,1932,F,,1,0,,
65,CS-00007,OR,2013-01-07,2013-01-07,2013-01-07,CASH,Payment For Account,"310-000",----,NAI,----,BANK,"",----,1.00000000,0.00,,780.00,780.00,PM,,1933,F,,3,0,,
72,CS-00008,OR,2013-01-07,2013-01-07,2013-01-07,CASH,Payment For Account,"310-000",----,NAI,----,BANK,"",----,1.00000000,0.00,,250.00,250.00,PM,,1934,F,,1,0,,
75,CS-00009,OR,2013-01-08,2013-01-08,2013-01-08,CASH,Payment For Account,"310-000",----,NAI,----,BANK,"",----,1.00000000,0.00,,480.00,480.00,PM,,1936,F,,1,0,,
78,PV-00017,PV,2013-01-08,2013-01-08,2013-01-08,SYARIKAT MURNI TRADING,,"310-000",----,----,----,BANK,PBB-431465,----,1.00000000,0.00,,1223.00,1223.00,,,5391,F,,1,1,,
80,CS-00010,OR,2013-01-09,2013-01-09,2013-01-09,CASH,Payment For Account,"310-000",----,NAI,----,BANK,"",----,1.00000000,0.00,,17.00,17.00,PM,,1937,F,,1,0,,
83,PV-00018,PV,2013-01-09,2013-01-09,2013-01-09,JR MANAGEMENT SERVICES SDN BHD,,"310-000",----,----,----,BANK,PBB-431466,----,1.00000000,0.00,,272.60,272.60,,,5392,F,,0,1,,
85,CS-00011,OR,2013-01-09,2013-01-09,2013-01-09,CASH,Payment For Account,"310-000",----,NAI,----,BANK,"",----,1.00000000,0.00,,290.00,290.00,PM,,1938,F,,1,0,,
88,PV-00019,PV,2013-01-09,2013-01-09,2013-01-09,HL JAYA MACHINERY SDN. BHD.,Payment For Account - 1ST PAYMENT (CHENG SWEE WAH) CASH BILL = 3128/3129/3130/3131/3132/3133/3134,"310-000",KL,NAI,----,BANK,PBB-431467,----,1.00000000,0.00,,3576.50,3576.50,SP,,4795,F,,3,2,,
98,PV-00020,PV,2013-01-09,2013-01-09,2013-01-09,WISEGUARD TECHNOLOGY SDN BHD,,"310-000",----,----,----,BANK,PBB-431469,----,1.00000000,0.00,,5500.00,5500.00,,,5393,F,,1,1,,
92,CS-00012,OR,2013-01-09,2013-01-09,2013-01-09,CASH,Payment For Account,"310-000",----,NAI,----,BANK,"",----,1.00000000,0.00,,75.00,75.00,PM,,1939,F,,2,0,,
95,CS-00013,OR,2013-01-09,2013-01-09,2013-01-09,CASH,Payment For Account,"320-000",----,NAI,----,CASH,"",----,1.00000000,0.00,,200.00,200.00,PM,,1940,F,,3,0,,
121,CS-00016,OR,2013-01-09,2013-01-09,2013-01-09,CASH,Payment For Account,"310-000",----,NAI,----,BANK,"",----,1.00000000,0.00,,150.00,150.00,PM,,1930,F,,1,0,,
100,CS-00014,OR,2013-01-09,2013-01-09,2013-01-09,CASH,Payment For Account,"310-000",----,NAI,----,BANK,"",----,1.00000000,0.00,,430.00,430.00,PM,,1941,T,,3,0,,
105,CS-00015,OR,2013-01-09,2013-01-09,2013-01-09,CASH,Payment For Account,"310-000",----,NAI,----,BANK,"",----,1.00000000,0.00,,195.00,195.00,PM,,1942,T,,5,0,,
132,CS-00019,OR,2013-01-10,2013-01-10,2013-01-10,CASH,Payment For Account,"310-000",----,NAI,----,BANK,"",----,1.00000000,0.00,,829.00,829.00,PM,,1944,F,,1,0,,
124,CS-00017,OR,2013-01-10,2013-01-10,2013-01-10,CASH,Payment For Account,"310-000",----,NAI,----,BANK,"",----,1.00000000,0.00,,50.00,50.00,PM,,1935,F,,1,0,,
127,CS-00018,OR,2013-01-10,2013-01-10,2013-01-10,CASH,Payment For Account,"310-000",----,NAI,----,BANK,"",----,1.00000000,0.00,,35.00,35.00,PM,,1943,F,,1,0,,
135,CS-00020,OR,2013-01-10,2013-01-10,2013-01-10,CASH,Payment For Account,"310-000",----,NAI,----,BANK,"",----,1.00000000,0.00,,150.00,150.00,PM,,1945,F,,1,0,,
138,CS-00021,OR,2013-01-11,2013-01-11,2013-01-11,CASH,Payment For Account,"320-000",----,NAI,----,CASH,"",----,1.00000000,0.00,,50.00,50.00,PM,,1946,F,,3,0,,
141,CS-00022,OR,2013-01-12,2013-01-12,2013-01-12,CASH,Payment For Account,"310-000",----,NAI,----,BANK,"",----,1.00000000,0.00,,300.00,300.00,PM,,1947,F,,1,0,,
144,CS-00023,OR,2013-01-12,2013-01-12,2013-01-12,CASH,Payment For Account,"310-000",----,NAI,----,BANK,"",----,1.00000000,0.00,,285.00,285.00,PM,,1948,F,,1,0,,
147,CS-00024,OR,2013-01-12,2013-01-12,2013-01-12,CASH,Payment For Account,"310-000",----,NAI,----,BANK,"",----,1.00000000,0.00,,120.00,120.00,PM,,1949,F,,1,0,,
150,CS-00025,OR,2013-01-12,2013-01-12,2013-01-12,CASH,Payment For Account,"310-000",----,NAI,----,BANK,"",----,1.00000000,0.00,,950.00,950.00,PM,,1950,F,,1,0,,
153,CS-00026,OR,2013-01-14,2013-01-14,2013-01-14,CASH,Payment For Account,"310-000",----,NAI,----,BANK,"",----,1.00000000,0.00,,650.00,650.00,PM,,1951,F,,1,0,,
156,PV-00021,PV,2013-01-14,2013-01-14,2013-01-14,LEE CHEE WAH,,"310-000",----,----,----,BANK,PBB 431470,----,1.00000000,0.00,,1114.75,1114.75,,,5394,F,,0,2,,
159,PV-00022,PV,2013-01-14,2013-01-14,2013-01-14,HL JAYA MACHINERY SDN. BHD.,Payment For CASH BILL 3145 /3147,"310-000",KL,NAI,----,BANK,PBB-431471,----,1.00000000,0.00,,230.30,230.30,SP,,4796,F,,2,1,,
187,PV-00023,PV,2013-01-16,2013-01-16,2013-01-16,HL JAYA MACHINERY SDN. BHD.,Payment For Account,"310-000",KL,NAI,----,BANK,PBB-431473,----,1.00000000,0.00,,15.00,15.00,SP,,4797,F,,2,2,,
162,CS-00027,OR,2013-01-14,2013-01-14,2013-01-14,CASH,Payment For Account,"310-000",----,NAI,----,BANK,"",----,1.00000000,0.00,,300.00,300.00,PM,,1952,F,,3,0,,
167,CS-00028,OR,2013-01-14,2013-01-14,2013-01-14,CASH,Payment For Account,"310-000",----,NAI,----,BANK,"",----,1.00000000,0.00,,353.00,353.00,PM,,1953,F,,3,0,,
192,PV-00024,PV,2013-01-16,2013-01-16,2013-01-16,TELEKOM MALAYSIA BERHAD,,"310-000",----,----,----,BANK,PBB-431474,----,1.00000000,0.00,,467.85,467.85,,,5395,F,,1,1,,
172,CS-00029,OR,2013-01-15,2013-01-15,2013-01-15,ASGRAND HOLDINGS SDN BHD,Payment For Account,"310-000",KL,NAI,----,BANK,"",----,1.00000000,0.00,,46.00,46.00,PM,,1955,F,,1,0,,
194,CS-00034,OR,2013-01-16,2013-01-16,2013-01-16,CASH,Payment For Account,"310-000",----,NAI,----,BANK,"",----,1.00000000,0.00,,264.00,264.00,PM,,1961,F,,1,0,,
175,CS-00030,OR,2013-01-15,2013-01-15,2013-01-15,CASH,Payment For Account,"310-000",----,NAI,----,BANK,"",----,1.00000000,0.00,,75.00,75.00,PM,,1957,F,,1,0,,
178,CS-00031,OR,2013-01-15,2013-01-15,2013-01-15,CASH,Payment For Account,"310-000",----,NAI,----,BANK,"",----,1.00000000,0.00,,893.50,893.50,PM,,1958,F,,1,0,,
181,CS-00032,OR,2013-01-16,2013-01-16,2013-01-16,CASH,Payment For Account,"310-000",----,NAI,----,BANK,"",----,1.00000000,0.00,,20.00,20.00,PM,,1959,F,,1,0,,
184,CS-00033,OR,2013-01-16,2013-01-16,2013-01-16,CASH,Payment For Account,"310-000",----,NAI,----,BANK,"",----,1.00000000,0.00,,290.00,290.00,PM,,1960,F,,1,0,,
197,CS-00035,OR,2013-01-17,2013-01-17,2013-01-17,CASH,Payment For Account,"310-000",----,NAI,----,BANK,"",----,1.00000000,0.00,,190.00,190.00,PM,,1962,F,,4,0,,
200,CS-00036,OR,2013-01-17,2013-01-17,2013-01-17,CASH,Payment For Account,"310-000",----,NAI,----,BANK,"",----,1.00000000,0.00,,750.00,750.00,PM,,1963,F,,1,0,,
203,PV-00025,PV,2013-01-18,2013-01-18,2013-01-18,GL BOSUN DIAMOND TOOLS (M) SDN BHD,Payment For Account,"310-000",JH,NAI,----,BANK,PBB-431475,----,1.00000000,0.00,,4247.70,4247.70,SP,,4798,F,,0,1,,
211,PV-00026,PV,2013-01-18,2013-01-18,2013-01-18,HL JAYA MACHINERY SDN. BHD.,Payment For Account,"310-000",KL,NAI,----,BANK,PBB-431477,----,1.00000000,0.00,,131.00,131.00,SP,,4799,F,,1,1,,
205,CS-00037,OR,2013-01-18,2013-01-18,2013-01-18,EDGEWISE CITY SDN BHD,Payment For Account,"310-000",KL,NAI,----,BANK,"",----,1.00000000,0.00,,247.00,247.00,PM,,1954,F,,1,0,,
208,CS-00038,OR,2013-01-18,2013-01-18,2013-01-18,CASH,Payment For Account,"310-000",----,NAI,----,BANK,"",----,1.00000000,0.00,,40.00,40.00,PM,,1956,F,,1,0,,
221,CS-00040,OR,2013-01-18,2013-01-18,2013-01-18,CASH,Payment For Account,"310-000",----,NAI,----,BANK,"",----,1.00000000,0.00,,90.00,90.00,PM,,1967,F,,1,0,,
216,CS-00039,OR,2013-01-18,2013-01-18,2013-01-18,CASH,Payment For Account,"310-000",----,NAI,----,BANK,RHB-984841,----,1.00000000,0.00,,400.00,400.00,PM,,1964,F,,3,0,,
224,CS-00041,OR,2013-01-18,2013-01-18,2013-01-18,EDGEWISE CITY SDN BHD,Payment For Account,"310-000",KL,NAI,----,BANK,"",----,1.00000000,0.00,,116.00,116.00,PM,,1965,F,,1,0,,
227,CS-00042,OR,2013-01-19,2013-01-19,2013-01-19,CASH,Payment For Account,"310-000",----,NAI,----,BANK,"",----,1.00000000,0.00,,130.00,130.00,PM,,1966,F,,1,0,,
230,OR-00001,OR,2013-01-17,2013-01-17,2013-01-17,LEE CHEE WAH,,"310-000",----,----,----,BANK,CASH,----,1.00000000,0.00,,5000.00,5000.00,,,5396,F,,4,0,,
232,OR-00002,OR,2013-01-19,2013-01-19,2013-01-19,LEE CHEE WAH,,"310-000",----,----,----,BANK,CASH,----,1.00000000,0.00,,4500.00,4500.00,,,5397,F,,2,0,,
234,PV-00027,PV,2013-01-19,2013-01-19,2013-01-19,NAI CHEW WEE,REIMBURSEMENT,"310-000",----,----,----,BANK,PBB 431478,----,1.00000000,0.00,,1739.69,1739.69,,,5398,F,,1,1,,
240,PV-00028,PV,2013-01-19,2013-01-19,2013-01-19,NAI CHEW WEE,,"310-000",----,----,----,BANK,PBB 431479,----,1.00000000,0.00,,1454.55,1454.55,,,5399,F,,2,1,,
252,PV-00029,PV,2013-01-19,2013-01-19,2013-01-19,NAI CHEW WEE,,"310-000",----,----,----,BANK,PBB 431480,----,1.00000000,0.00,,1100.00,1100.00,,,5400,F,,0,1,,
254,CS-00043,OR,2013-01-19,2013-01-19,2013-01-19,CASH,Payment For Account,"310-000",----,NAI,----,BANK,"",----,1.00000000,0.00,,35.00,35.00,PM,,1968,F,,1,0,,
257,CS-00044,OR,2013-01-19,2013-01-19,2013-01-19,CASH,Payment For Account,"310-000",----,NAI,----,BANK,"",----,1.00000000,0.00,,355.00,355.00,PM,,1969,F,,1,0,,
260,CS-00045,OR,2013-01-19,2013-01-19,2013-01-19,EDGEWISE CITY SDN BHD,Payment For Account,"310-000",KL,NAI,----,BANK,"",----,1.00000000,0.00,,50.00,50.00,PM,,1970,F,,1,0,,
263,CS-00046,OR,2013-01-20,2013-01-20,2013-01-20,CASH,Payment For Account,"310-000",----,NAI,----,BANK,"",----,1.00000000,0.00,,470.00,470.00,PM,,1971,F,,1,0,,
266,CS-00047,OR,2013-01-20,2013-01-20,2013-01-20,CASH,Payment For Account,"310-000",----,NAI,----,BANK,"",----,1.00000000,0.00,,130.00,130.00,PM,,1972,F,,3,0,,
271,CS-00048,OR,2013-01-20,2013-01-20,2013-01-20,CASH,Payment For Account,"310-000",----,NAI,----,BANK,"",----,1.00000000,0.00,,300.00,300.00,PM,,1973,F,,1,0,,
286,PV-00030,PV,2013-01-22,2013-01-22,2013-01-22,VIN FIRE SERVICES,,"310-000",----,----,----,BANK,PBB-431481,----,1.00000000,0.00,,240.00,240.00,,,5401,F,,0,1,,
274,CS-00049,OR,2013-01-20,2013-01-20,2013-01-20,CASH,Payment For Account,"310-000",----,NAI,----,BANK,"",----,1.00000000,0.00,,299.90,299.90,PM,,1974,F,,1,0,,
277,CS-00050,OR,2013-01-21,2013-01-21,2013-01-21,CASH,Payment For Account,"310-000",----,NAI,----,BANK,"",----,1.00000000,0.00,,43.00,43.00,PM,,1975,F,,1,0,,
280,CS-00051,OR,2013-01-21,2013-01-21,2013-01-21,EDGEWISE CITY SDN BHD,Payment For Account,"310-000",KL,NAI,----,BANK,"",----,1.00000000,0.00,,200.00,200.00,PM,,1976,F,,1,0,,
283,CS-00052,OR,2013-01-21,2013-01-21,2013-01-21,CASH,Payment For Account,"310-000",----,NAI,----,BANK,"",----,1.00000000,0.00,,450.00,450.00,PM,,1977,F,,1,0,,
288,CS-00053,OR,2013-01-22,2013-01-22,2013-01-22,CASH,Payment For Account,"310-000",----,NAI,----,BANK,"",----,1.00000000,0.00,,250.00,250.00,PM,,1978,F,,1,0,,
291,CS-00054,OR,2013-01-22,2013-01-22,2013-01-22,CASH,Payment For Account,"310-000",----,NAI,----,BANK,"",----,1.00000000,0.00,,37.00,37.00,PM,,1979,F,,1,0,,
294,CS-00055,OR,2013-01-22,2013-01-22,2013-01-22,CASH,Payment For Account,"310-000",----,NAI,----,BANK,"",----,1.00000000,0.00,,500.00,500.00,PM,,1980,F,,1,0,,
297,CS-00056,OR,2013-01-22,2013-01-22,2013-01-22,CASH,Payment For Account,"310-000",----,NAI,----,BANK,"",----,1.00000000,0.00,,449.90,449.90,PM,,1981,F,,3,0,,
302,CS-00057,OR,2013-01-23,2013-01-23,2013-01-23,CASH,Payment For Account,"310-000",----,NAI,----,BANK,"",----,1.00000000,0.00,,57.00,57.00,PM,,1982,F,,5,0,,
309,CS-00058,OR,2013-01-23,2013-01-23,2013-01-23,CASH,Payment For Account,"310-000",----,NAI,----,BANK,HLB-4293-19XX-XXXX-8,----,1.00000000,0.00,,299.90,299.90,PM,,1983,F,,1,0,,
312,CS-00059,OR,2013-01-24,2013-01-24,2013-01-24,CASH,Payment For Account,"310-000",----,NAI,----,BANK,"",----,1.00000000,0.00,,85.00,85.00,PM,,1985,F,,1,0,,
315,CS-00060,OR,2013-01-24,2013-01-24,2013-01-24,CASH,Payment For Account,"310-000",----,NAI,----,BANK,"",----,1.00000000,0.00,,50.00,50.00,PM,,1986,F,,1,0,,
318,CS-00061,OR,2013-01-24,2013-01-24,2013-01-24,CASH,Payment For Account,"310-000",----,NAI,----,BANK,"4297-55XX-XXXX-2213",----,1.00000000,0.00,,1200.00,1200.00,PM,,1987,F,,1,0,,
321,PV-00031,PV,2013-01-22,2013-01-22,2013-01-22,ESM MACHINERY (KL) SDN BHD,Payment For Account,"310-000",SLG,NAI,----,BANK,PBB-431482,----,1.00000000,0.00,,430.00,430.00,SP,,4800,F,,0,0,,
323,PV-00032,PV,2013-01-27,2013-01-27,2013-01-27,LEE CHEE WAH,,"310-000",----,----,----,BANK,PBB-431483,----,1.00000000,0.00,,369.15,369.15,,,5402,F,,1,0,,
332,PV-00033,PV,2013-01-25,2013-01-25,2013-01-25,G.S.T HARDWARE SDN BHD,Payment For Account,"310-000",KL,NAI,----,BANK,PBB-431483,----,1.00000000,0.00,,417.40,417.40,SP,,4801,F,,0,0,,
334,PV-00034,PV,2013-01-25,2013-01-25,2013-01-25,KT MACHINERY & BEARINGS SDN BHD,Payment For Account,"310-000",SLG,NAI,----,BANK,PBB-431483,----,1.00000000,0.00,,12.00,12.00,SP,,4802,F,,0,0,,
336,PV-00035,PV,2013-01-25,2013-01-25,2013-01-25,UKAI (MALAYSIA) SDN BHD,Payment For Account,"310-000",KL,NAI,----,BANK,PBB-431483,----,1.00000000,0.00,,150.00,150.00,SP,,4803,F,,0,0,,
338,PV-00036,PV,2013-01-25,2013-01-25,2013-01-25,STL SEALS & O RONGS (SK) SDN BHD,Payment For Account,"310-000",SLG,NAI,----,BANK,PBB-431483,----,1.00000000,0.00,,11.50,11.50,SP,,4804,F,,0,0,,
340,PV-00037,PV,2013-01-26,2013-01-26,2013-01-26,NAI CHEW WEE,,"310-000",----,----,----,BANK,PBB-431484,----,1.00000000,0.00,,340.00,340.00,,,5403,F,,0,0,,
342,CS-00062,OR,2013-01-25,2013-01-25,2013-01-25,CASH,Payment For Account,"310-000",----,NAI,----,BANK,"",----,1.00000000,0.00,,600.00,600.00,PM,,1984,F,,1,0,,
345,CS-00063,OR,2013-01-26,2013-01-26,2013-01-26,CASH,Payment For Account,"310-000",----,NAI,----,BANK,"",----,1.00000000,0.00,,170.00,170.00,PM,,1988,F,,1,0,,
348,CS-00064,OR,2013-01-26,2013-01-26,2013-01-26,CASH,Payment For Account,"310-000",----,NAI,----,BANK,"",----,1.00000000,0.00,,38.00,38.00,PM,,1989,F,,1,0,,
351,CS-00065,OR,2013-01-27,2013-01-27,2013-01-27,CASH,Payment For Account,"310-000",----,NAI,----,BANK,"5289-3200-0436-3704",----,1.00000000,0.00,,300.00,300.00,PM,,1990,F,,1,0,,
354,CS-00066,OR,2013-01-27,2013-01-27,2013-01-27,CASH,Payment For Account,"310-000",----,NAI,----,BANK,"4141-7000-0263-3284",----,1.00000000,0.00,,230.00,230.00,PM,,1991,F,,1,0,,
357,CS-00067,OR,2013-01-27,2013-01-27,2013-01-27,CASH,Payment For Account,"310-000",----,NAI,----,BANK,"5641-6020-0026-8265",----,1.00000000,0.00,,450.00,450.00,PM,,1992,F,,1,0,,
360,CS-00068,OR,2013-01-28,2013-01-28,2013-01-28,CASH,Payment For Account,"310-000",----,NAI,----,BANK,"4966-2302-3165-8458",----,1.00000000,0.00,,690.00,690.00,PM,,1993,F,,1,0,,
363,CS-00069,OR,2013-01-29,2013-01-29,2013-01-29,CASH,Payment For Account,"310-000",----,NAI,----,BANK,"",----,1.00000000,0.00,,449.90,449.90,PM,,1994,F,,1,0,,
366,CS-00070,OR,2013-01-29,2013-01-29,2013-01-29,CASH,Payment For Account,"310-000",----,NAI,----,BANK,"",----,1.00000000,0.00,,220.00,220.00,PM,,1995,F,,1,0,,
369,CS-00071,OR,2013-01-29,2013-01-29,2013-01-29,CASH,Payment For Account,"310-000",----,NAI,----,BANK,"",----,1.00000000,0.00,,50.00,50.00,PM,,1996,F,,1,0,,
372,CS-00072,OR,2013-01-29,2013-01-29,2013-01-29,CASH,Payment For Account,"310-000",----,NAI,----,BANK,"",----,1.00000000,0.00,,100.00,100.00,PM,,1997,F,,1,0,,
375,PV-00038,PV,2013-01-30,2013-01-30,2013-01-30,GNS ADVERTISING ENTERPRISE SDN BHD,,"310-000",----,----,----,BANK,PBB-431485,----,1.00000000,0.00,,4784.00,4784.00,,,5404,F,,2,1,,
377,PV-00039,PV,2013-01-30,2013-01-30,2013-01-30,NG SOON HUAT - 820618-10-5909,,"310-000",----,----,----,BANK,PBB-431486,----,1.00000000,0.00,,900.00,900.00,,,5405,F,,2,2,,
379,CS-00073,OR,2013-01-30,2013-01-30,2013-01-30,CASH,Payment For Account,"310-000",----,NAI,----,BANK,"",----,1.00000000,0.00,,129.80,129.80,PM,,1998,F,,1,0,,
382,OR-00003,OR,2013-01-30,2013-01-30,2013-01-30,GNS ADVERRTISING ENTERPRISE SDN BHD,Payment For Account,"310-000",NS,NAI,----,BANK,CASH,----,1.00000000,0.00,,760.00,760.00,PM,,1999,F,,0,1,,
387,OR-00004,OR,2013-01-30,2013-01-30,2013-01-30,CASH,Payment For Account,"310-000",----,NAI,----,BANK,"4996-2302-3165-8458",----,1.00000000,0.00,,1668.00,1668.00,PM,,2001,F,,0,1,,
384,CS-00074,OR,2013-01-30,2013-01-30,2013-01-30,CASH,Payment For Account,"310-000",----,NAI,----,BANK,"",----,1.00000000,0.00,,780.00,780.00,PM,,2000,F,,1,0,,
389,CS-00075,OR,2013-01-30,2013-01-30,2013-01-30,CASH,Payment For Account,"310-000",----,NAI,----,BANK,"5439-3101-0904-3904",----,1.00000000,0.00,,280.00,280.00,PM,,2002,F,,1,0,,
392,CS-00076,OR,2013-01-31,2013-01-31,2013-01-31,CASH,Payment For Account,"310-000",----,NAI,----,BANK,"",----,1.00000000,0.00,,61.00,61.00,PM,,2003,F,,1,0,,
395,CS-00077,OR,2013-01-31,2013-01-31,2013-01-31,CASH,Payment For Account,"310-000",----,NAI,----,BANK,"",----,1.00000000,0.00,,299.90,299.90,PM,,2004,F,,1,0,,
398,PV-00040,PV,2013-01-31,2013-01-31,2013-01-31,DACHO MACHINERY & HARDWARE SDN BHD,Payment For Account,"310-000",KL,NAI,----,BANK,PBB-431487,----,1.00000000,0.00,,490.00,490.00,SP,,4805,F,,0,1,,
400,PV-00041,PV,2013-01-31,2013-01-31,2013-01-31,PUBLIC BANK BERHAD,,"310-000",----,----,----,BANK,"3180478632",----,1.00000000,0.00,,7.50,7.50,,,5406,F,,0,1,,
402,PV-00042,PV,2013-01-31,2013-01-31,2013-01-31,TOMAC INDUSTRIES SDN BHD,Payment For Account,"310-000",SLG,NAI,----,BANK,PBB-431488,----,1.00000000,0.00,,365.00,365.00,SP,,4806,F,,0,1,,
404,CS-00078,OR,2013-01-31,2013-01-31,2013-01-31,CASH,Payment For Account,"310-000",----,NAI,----,BANK,"",----,1.00000000,0.00,,600.00,600.00,PM,,2005,F,,1,0,,
407,CS-00079,OR,2013-01-31,2013-01-31,2013-01-31,CASH,Payment For Account,"310-000",----,NAI,----,BANK,"",----,1.00000000,0.00,,340.00,340.00,PM,,2006,F,,1,0,,
410,CS-00080,OR,2013-02-02,2013-02-02,2013-02-02,CASH,Payment For Account,"310-000",----,NAI,----,BANK,"",----,1.00000000,0.00,,121.00,121.00,PM,,2007,F,,1,0,,
413,CS-00082,OR,2013-02-03,2013-02-03,2013-02-03,CASH,Payment For Account,"310-000",----,NAI,----,BANK,"4553-57XX-XXXX-9113",----,1.00000000,0.00,,730.00,730.00,PM,,2008,F,,3,0,,
419,CS-00081,OR,2013-02-02,2013-02-02,2013-02-02,CASH,Payment For Account,"310-000",----,NAI,----,BANK,"",----,1.00000000,0.00,,65.00,65.00,PM,,2009,F,,1,0,,
