"DOCKEY","DOCNO","DOCTYPE","DOCDATE","POSTDATE","TAXDATE","DESCRIPTION","DESCRIPTION2","PAYMENTMETHOD","AREA","AGENT","PROJECT","JOURNAL","CHEQUENUMBER","CURRENCYCODE","CURRENCYRATE","BANKCHARGE","BANKCHARGEACCOUNT","DOCAMT","LOCALDOCAMT","FROMDOCTYPE","BOUNCEDDATE","GLTRANSID","CANCELLED","DEPOSITKEY","UPDATECOUNT","PRINTCOUNT","ATTACHMENTS","NOTE"
347,PC-1311/001,PV,2013-11-01,2013-11-01,2013-11-01,CASH,Payment For Invoice,"308-000",----,----,----,BANK,Cash,----,1.00000000,0.00,,1545.00,1545.00,SP,,238,F,,,0,,
350,PC-1311/002,PV,2013-11-01,2013-11-01,2013-11-01,CASH,Payment For Invoice,"308-000",----,----,----,BANK,Cash,----,1.00000000,0.00,,810.00,810.00,SP,,240,F,,,0,,
353,OR-00001,OR,2013-11-11,2013-11-11,2013-11-11,GAN CHEE WEI,Advance Cash For Bank Account Opening,"301-001",----,----,----,BANK,Cash,----,1.00000000,0.00,,10000.00,10000.00,,,242,F,,,0,,
355,OR-00003,OR,2013-11-11,2013-11-11,2013-11-11,GAN CHEE WEI,Advance Cash For Bank Account Opening,"301-001",----,----,----,BANK,PBB074230,----,1.00000000,0.00,,10000.00,10000.00,,,243,F,,,0,,
357,OR-00004,OR,2013-11-12,2013-11-12,2013-11-12,KAME FITTING CONTACT LENS CO,Payment For Account,"301-001",----,----,----,BANK,"495852",----,1.00000000,0.00,,921.60,921.60,PM,,244,F,,,0,,
359,OR-00005,OR,2013-11-28,2013-11-28,2013-11-28,OPTIQUE PARIS MIKI (M) SDN BHD,Payment For Account,"301-001",----,----,----,BANK,T.T.-2623466790,----,1.00000000,0.00,,4147.20,4147.20,PM,,245,F,,,0,,
361,OR-00006,OR,2013-12-11,2013-12-11,2013-12-11,VISION CARE,Payment For Account,"301-001",----,----,----,BANK,MBB123456,----,1.00000000,0.00,,460.80,460.80,PM,,247,F,,,0,,
363,OR-00007,OR,2013-12-27,2013-12-27,2013-12-27,VISION CARE,Payment For Account,"301-001",----,----,----,BANK,MBB20131212,----,1.00000000,0.00,,460.80,460.80,PM,,248,F,,,0,,
365,OR-00008,OR,2014-01-03,2014-01-03,2014-01-03,DEREK AR OPTICIAN,Payment For Account,"301-001",----,----,----,BANK,"326752",----,1.00000000,0.00,,518.40,518.40,PM,,249,F,,,0,,
367,OR-00009,OR,2014-01-21,2014-01-21,2014-01-21,MERCU OPTOMETRY SDN BHD,Payment For Account,"301-001",----,----,----,BANK,"667622",----,1.00000000,0.00,,1036.80,1036.80,PM,,250,F,,,0,,
369,OR-00010,OR,2014-01-28,2014-01-28,2014-01-28,JUST OPTIC,Payment For Account,"301-001",----,----,----,BANK,"001457",----,1.00000000,0.00,,921.60,921.60,PM,,251,F,,,0,,
371,OR-00011,OR,2014-02-10,2014-02-10,2014-02-10,EYE CABIN OPTICAL,Payment For Account,"301-001",----,----,----,BANK,"000301",----,1.00000000,0.00,,921.60,921.60,PM,,252,F,,,0,,
373,OR-00012,OR,2014-02-10,2014-02-10,2014-02-10,I-VISON EYEWEAR,Payment For Account,"301-001",----,----,----,BANK,"000465",----,1.00000000,0.00,,667.80,667.80,PM,,253,F,,,0,,
375,OR-00013,OR,2014-02-10,2014-02-10,2014-02-10,E CARE OPTICAL,Payment For Account,"301-001",----,----,----,BANK,"066453",----,1.00000000,0.00,,460.80,460.80,PM,,254,F,,,0,,
377,OR-00014,OR,2014-02-10,2014-02-10,2014-02-10,SPEC ASIA,Payment For Account,"301-001",----,----,----,BANK,"944550",----,1.00000000,0.00,,460.80,460.80,PM,,255,F,,,0,,
379,OR-00015,OR,2014-02-11,2014-02-11,2014-02-11,UNIQUE EYEWORKS,Payment For Account,"301-001",----,----,----,BANK,"073218",----,1.00000000,0.00,,1009.60,1009.60,PM,,256,F,,,0,,
381,OR-00016,OR,2014-02-17,2014-02-17,2014-02-17,NICE IMAGE EYECARE,Payment For Account,"301-001",----,----,----,BANK,"296734",----,1.00000000,0.00,,1382.40,1382.40,PM,,257,F,,,0,,
383,OR-00017,OR,2014-02-17,2014-02-17,2014-02-17,CONTRA,Payment For Account,"301-001",----,----,----,BANK,"326753",----,1.00000000,0.00,,518.40,518.40,PM,,258,F,,,0,,
386,OR-00018,OR,2014-04-24,2014-04-24,2014-04-24,GAN CHEE WEI,Advance,"301-001",----,----,----,BANK,Cash,----,1.00000000,0.00,,40000.00,40000.00,,,259,F,,,0,,
388,OR-00019,OR,2014-04-24,2014-04-24,2014-04-24,GAN CHEE WEI,Paid Up Capital,"301-001",----,----,----,BANK,Cash,----,1.00000000,0.00,,5000.00,5000.00,,,260,F,,,0,,
390,OR-00020,OR,2014-04-24,2014-04-24,2014-04-24,NGAI AH THAI,Paid Up Capital,"301-001",----,----,----,BANK,Cash,----,1.00000000,0.00,,5000.00,5000.00,,,261,F,,,0,,
392,OR-00021,OR,2014-07-24,2014-07-24,2014-07-24,UNIVERSITI MALAYA,Payment For Account,"301-001",----,----,----,BANK,IMEP-465778,----,1.00000000,1.00,"703-000",5350.00,5350.00,PM,,263,F,,,0,,
394,PV-1408/001,PV,2014-08-07,2014-08-07,2014-08-07,GAN CHEE WEI,Payment For Refund,"301-001",----,----,----,BANK,PBB446952,----,1.00000000,2.00,"703-000",5500.00,5500.00,,,266,F,,,0,,
396,PV-1408/002,PV,2014-08-20,2014-08-20,2014-08-20,GAN CHEE WEI,Payment For Refund,"301-001",----,----,----,BANK,PBB446953,----,1.00000000,2.00,"703-000",10000.00,10000.00,,,267,F,,,0,,
398,PV-1408/003,PV,2014-08-20,2014-08-20,2014-08-20,GAN CHEE WEI,Payment For Refund,"301-001",----,----,----,BANK,PBB446954,----,1.00000000,2.00,"703-000",10000.00,10000.00,,,268,F,,,0,,
400,PV-1408/004,PV,2014-08-20,2014-08-20,2014-08-20,GAN CHEE WEI,Payment For Refund,"301-001",----,----,----,BANK,PBB446956,----,1.00000000,2.00,"703-000",4900.00,4900.00,,,269,F,,,0,,
402,PV-1408/005,PV,2014-08-20,2014-08-20,2014-08-20,GAN CHEE WEI,Payment For Refund,"301-001",----,----,----,BANK,PBB446957,----,1.00000000,2.00,"703-000",8000.00,8000.00,,,270,F,,,0,,
404,PV-1408/006,PV,2014-08-20,2014-08-20,2014-08-20,GAN CHEE WEI,Payment For Refund,"301-001",----,----,----,BANK,PBB446959,----,1.00000000,0.00,,1000.00,1000.00,,,271,F,,,0,,
406,PV-1408/007,PV,2014-08-20,2014-08-20,2014-08-20,GAN CHEE WEI,Payment For Refund,"301-001",----,----,----,BANK,PBB446960,----,1.00000000,0.00,,480.00,480.00,,,272,F,,,0,,
423,OR-00025,OR,2014-09-30,2014-09-30,2014-09-30,GAN CHEE WEI,Advance,"301-001",----,----,----,BANK,Transfer,----,1.00000000,0.00,,1000.00,1000.00,,,280,F,,,0,,
410,PV-1409/001,PV,2014-09-02,2014-09-02,2014-09-02,GAN CHEE WEI,Payment For Refund,"301-001",----,----,----,BANK,PBB446962,----,1.00000000,0.00,,900.00,900.00,,,274,F,,,0,,
412,PV-1409/002,PV,2014-09-08,2014-09-08,2014-09-08,GAN CHEE WEI,Payment For Refund,"301-001",----,----,----,BANK,PBB446964,----,1.00000000,0.00,,1250.00,1250.00,,,275,F,,,0,,
414,PV-1410/001,PV,2014-10-02,2014-10-02,2014-10-02,GAN CHEE WEI,Payment For Refund,"301-001",----,----,----,BANK,PBB446966,----,1.00000000,0.00,,1000.00,1000.00,,,276,F,,,0,,
417,OR-00022,OR,2014-08-21,2014-08-21,2014-08-21,UNIVERSITI MALAYA,Payment For Account,"301-001",----,----,----,BANK,IMEP-471454,----,1.00000000,1.00,"703-000",8880.00,8880.00,PM,,277,F,,,0,,
419,OR-00023,OR,2014-08-21,2014-08-21,2014-08-21,GAN CHEE WEI,Advance,"301-001",----,----,----,BANK,Cash,----,1.00000000,0.00,,200.00,200.00,,,278,F,,,0,,
421,OR-00024,OR,2014-08-26,2014-08-26,2014-08-26,UNIVERSITI MALAYA,Payment For Account,"301-001",----,----,----,BANK,IMEP-472560,----,1.00000000,1.00,"703-000",2000.00,2000.00,PM,,279,F,,,0,,
425,OR-00026,OR,2014-10-31,2014-10-31,2014-10-31,UNIVERSITI MALAYA,Payment For Account,"301-001",----,----,----,BANK,IMEP-490082,----,1.00000000,1.00,"703-000",4940.00,4940.00,PM,,281,F,,,0,,
427,OR-00027,OR,2014-11-13,2014-11-13,2014-11-13,UNIVERSITI MALAYA,Payment For Account,"301-001",----,----,----,BANK,IMEP-493802,----,1.00000000,1.00,"703-000",32500.00,32500.00,PM,,282,F,,,0,,
429,OR-00028,OR,2014-12-03,2014-12-03,2014-12-03,UNIVERSITI MALAYA,Payment For Account,"301-001",----,----,----,BANK,IMEP-499494,----,1.00000000,1.00,"703-000",8150.00,8150.00,PM,,283,F,,,0,,
431,OR-00029,OR,2014-12-04,2014-12-04,2014-12-04,UNIVERSITI MALAYA,Payment For Account,"301-001",----,----,----,BANK,IMEP-500200,----,1.00000000,1.00,"703-000",4940.00,4940.00,PM,,284,F,,,0,,
433,OR-00030,OR,2014-12-11,2014-12-11,2014-12-11,UNIVERSITI MALAYA,Payment For Account,"301-001",----,----,----,BANK,IMEP-501310,----,1.00000000,1.00,"703-000",2834.00,2834.00,PM,,285,F,,,0,,
435,OR-00031,OR,2014-12-16,2014-12-16,2014-12-16,UNIVERSITI MALAYA,Payment For Account,"301-001",----,----,----,BANK,IMEP-503745,----,1.00000000,1.00,"703-000",5968.00,5968.00,PM,,286,F,,,0,,
437,OR-00032,OR,2014-12-29,2014-12-29,2014-12-29,UNIVERSITI MALAYA,Payment For Account,"301-001",----,----,----,BANK,IMEP-506083,----,1.00000000,1.00,"703-000",2200.00,2200.00,PM,,287,F,,,0,,
457,PV-1411/001,PV,2014-11-15,2014-11-15,2014-11-15,GAN CHEE WEI,Payment For Refund,"301-001",----,----,----,BANK,PBB446969,----,1.00000000,2.00,"703-000",6300.00,6300.00,,,288,F,,,0,,
459,PV-1411/002,PV,2014-11-15,2014-11-15,2014-11-15,GAN CHEE WEI,Payment For Refund,"301-001",----,----,----,BANK,PBB446970,----,1.00000000,2.00,"703-000",6300.00,6300.00,,,289,F,,,0,,
461,PV-1412/002,PV,2014-12-10,2014-12-10,2014-12-10,GAN CHEE WEI,Payment For Refund,"301-001",----,----,----,BANK,PBB446985,----,1.00000000,0.00,,2000.00,2000.00,,,290,F,,,0,,
463,PV-1412/001,PV,2014-12-28,2014-12-28,2014-12-28,GAN CHEE WEI,Payment For Refund,"301-001",----,----,----,BANK,PBB446984,----,1.00000000,0.00,,13511.65,13511.65,,,291,F,,,0,,
477,PV-1412/003,PV,2014-12-31,2014-12-31,2014-12-31,ACRYLIC SIGNS MATERIAL SDN BHD,Payment For Invoice,"308-000",----,----,----,BANK,Cash,----,1.00000000,0.00,,1720.00,1720.00,SP,,293,F,,,0,,
479,PV-1412/004,PV,2014-12-31,2014-12-31,2014-12-31,EBC OPT SDN BHD,Payment For Invoice,"308-000",----,----,----,BANK,Cash,----,1.00000000,0.00,,12300.00,12300.00,SP,,294,F,,,0,,
481,PV-1412/005,PV,2014-12-31,2014-12-31,2014-12-31,KK LYE MANAGEMENT SERVICES,Payment For Invoice,"308-000",----,----,----,BANK,Cash,----,1.00000000,0.00,,667.80,667.80,SP,,295,F,,,0,,
483,PV-1412/006,PV,2014-12-31,2014-12-31,2014-12-31,T.E.M. ENGINEERING SDN BHD,Payment For Invoice,"308-000",----,----,----,BANK,Cash,----,1.00000000,0.00,,220.00,220.00,SP,,296,F,,,0,,
485,PV-1412/007,PV,2014-12-18,2014-12-18,2014-12-18,CHEMIX ENGINEERING,Payment For Invoice,"308-000",----,----,----,BANK,Cash,----,1.00000000,0.00,,24000.00,24000.00,SP,,297,F,,,0,,
493,PC-1311/003,PV,2013-11-30,2013-11-30,2013-11-30,NGAI AH THAI,Payment For Nov'13 Director's Fee,"308-000",KL,----,----,BANK,Cash,----,1.00000000,0.00,,2000.00,2000.00,,,299,F,,,0,,
495,PC-1312/001,PV,2013-12-31,2013-12-31,2013-12-31,NGAI AH THAI,Payment For Dec'13 Director's Fee,"308-000",KL,----,----,BANK,Cash,----,1.00000000,0.00,,2000.00,2000.00,,,300,F,,,0,,
497,PC-1401/001,PV,2014-01-31,2014-01-31,2014-01-31,NGAI AH THAI,Payment For Jan'14 Director's Fee,"308-000",----,----,----,BANK,Cash,----,1.00000000,0.00,,2000.00,2000.00,,,301,F,,,0,,
499,PC-1402/001,PV,2014-02-28,2014-02-28,2014-02-28,NGAI AH THAI,Payment For Feb'14 Director's Fee,"308-000",----,----,----,BANK,Cash,----,1.00000000,0.00,,2000.00,2000.00,,,302,F,,,0,,
501,PC-1403/001,PV,2014-03-31,2014-03-31,2014-03-31,NGAI AH THAI,Payment For Mar'14 Director's Fee,"308-000",----,----,----,BANK,Cash,----,1.00000000,0.00,,2000.00,2000.00,,,303,F,,,0,,
503,PC-1404/001,PV,2014-04-30,2014-04-30,2014-04-30,NGAI AH THAI,Payment For Apr'14 Director's Fee,"308-000",----,----,----,BANK,Cash,----,1.00000000,0.00,,2000.00,2000.00,,,304,F,,,0,,
505,PC-1405/001,PV,2014-05-31,2014-05-31,2014-05-31,NGAI AH THAI,Payment For May'14 Director's Fee,"308-000",----,----,----,BANK,Cash,----,1.00000000,0.00,,2000.00,2000.00,,,305,F,,,0,,
507,PC-1406/001,PV,2014-06-30,2014-06-30,2014-06-30,NGAI AH THAI,Payment For June'14 Director's Fee,"308-000",----,----,----,BANK,Cash,----,1.00000000,0.00,,2000.00,2000.00,,,306,F,,,0,,
509,PC-1407/001,PV,2014-07-31,2014-07-31,2014-07-31,NGAI AH THAI,Payment For July'14 Director's Fee,"308-000",----,----,----,BANK,Cash,----,1.00000000,0.00,,2000.00,2000.00,,,307,F,,,0,,
511,PC-1408/001,PV,2014-08-31,2014-08-31,2014-08-31,NGAI AH THAI,Payment For Aug'14 Director's Fee,"308-000",----,----,----,BANK,Cash,----,1.00000000,0.00,,2000.00,2000.00,,,308,F,,,0,,
513,PC-1409/001,PV,2014-09-30,2014-09-30,2014-09-30,NGAI AH THAI,Payment For Sept'14 Director's Fee,"308-000",----,----,----,BANK,Cash,----,1.00000000,0.00,,2000.00,2000.00,,,309,F,,,0,,
515,PC-1410/001,PV,2014-10-30,2014-10-30,2014-10-30,NGAI AH THAI,Payment For Oct'14 Director's Fee,"308-000",----,----,----,BANK,Cash,----,1.00000000,0.00,,2000.00,2000.00,,,310,F,,,0,,
517,PC-1411/001,PV,2014-11-30,2014-11-30,2014-11-30,NGAI AH THAI,Payment For Nov'14 Director's Fee,"308-000",----,----,----,BANK,Cash,----,1.00000000,0.00,,2000.00,2000.00,,,311,F,,,0,,
519,PC-1412/001,PV,2014-12-31,2014-12-31,2014-12-31,NGAI AH THAI,Payment For Dec'14 Director's Fee,"308-000",----,----,----,BANK,Cash,----,1.00000000,0.00,,2000.00,2000.00,,,312,F,,,0,,
521,PC-1501/001,PV,2015-01-31,2015-01-31,2015-01-31,NGAI AH THAI,Payment For Jan'15 Director's Fee,"308-000",KL,----,----,BANK,Cash,----,1.00000000,0.00,,2000.00,2000.00,,,313,F,,,0,,
523,PC-1502/001,PV,2015-02-28,2015-02-28,2015-02-28,NGAI AH THAI,Payment For Feb'15 Director's Fee,"308-000",KL,----,----,BANK,Cash,----,1.00000000,0.00,,2000.00,2000.00,,,314,F,,,0,,
525,PC-1503/001,PV,2015-03-31,2015-03-31,2015-03-31,NGAI AH THAI,Payment For Mar'15 Director's Fee,"308-000",KL,----,----,BANK,Cash,----,1.00000000,0.00,,2000.00,2000.00,,,315,F,,,0,,
527,PC-1504/001,PV,2015-04-30,2015-04-30,2015-04-30,NGAI AH THAI,Payment For Apr'15 Director's Fee,"308-000",KL,----,----,BANK,Cash,----,1.00000000,0.00,,2000.00,2000.00,,,316,F,,,0,,
529,PC-1505/001,PV,2015-05-31,2015-05-31,2015-05-31,NGAI AH THAI,Payment For May'15 Director's Fee,"308-000",KL,----,----,BANK,Cash,----,1.00000000,0.00,,2000.00,2000.00,,,317,F,,,0,,
531,PC-1506/001,PV,2015-06-30,2015-06-30,2015-06-30,NGAI AH THAI,Payment For June'15 Director's Fee,"308-000",KL,----,----,BANK,Cash,----,1.00000000,0.00,,2000.00,2000.00,,,318,F,,,0,,
533,PC-1507/001,PV,2015-07-31,2015-07-31,2015-07-31,NGAI AH THAI,Payment For July'15 Director's Fee,"308-000",KL,----,----,BANK,Cash,----,1.00000000,0.00,,2000.00,2000.00,,,319,F,,,0,,
535,PC-1506/002,PV,2015-06-16,2015-06-16,2015-06-16,TENAGA NASIONAL BERHAD,Payment For TNB Bill,"308-000",MLK,----,----,BANK,Cash,----,1.00000000,0.00,,238.00,238.00,,,391,F,,,0,,
538,PC-1506/003,PV,2015-06-23,2015-06-23,2015-06-23,SYARIKAT AIR MELAKA BERHAD,Payment For Water Bill,"308-000",MLK,----,----,BANK,Cash,----,1.00000000,0.00,,21.20,21.20,,,392,F,,,0,,
540,PC-1506/004,PV,2015-06-22,2015-06-22,2015-06-22,TELEKOM MALAYSIA BERHAD,Payment For June'15 Telehphone Bill.  Refer Bill No 002834989770,"308-000",MLK,----,----,BANK,Cash,----,1.00000000,0.00,,296.05,296.05,,,393,F,,,0,,
543,PC-1508/001,PV,2015-08-31,2015-08-31,2015-08-31,NGAI AH THAI,Payment For August'15 Director's Fee,"308-000",KL,----,----,BANK,Cash,----,1.00000000,0.00,,2000.00,2000.00,,,394,F,,,0,,
545,PC-1508/002,PV,2015-08-04,2015-08-04,2015-08-04,SUPER CERAMIC TILES (RAWANG) SDN BHD,Payment For Invoice,"308-000",KL,----,----,BANK,Credit Card,----,1.00000000,0.00,,1750.00,1750.00,SP,,403,F,,,0,,
548,PC-1412/002,PV,2014-12-31,2014-12-31,2014-12-31,CASH,Payment For Invoice,"308-000",----,----,----,BANK,Cash,----,1.00000000,0.00,,2500.00,2500.00,SP,,431,F,,,0,,
555,PC-1503/002,PV,2015-03-06,2015-03-06,2015-03-06,CASH,Payment For Invoice,"308-000",----,----,----,BANK,Cash,----,1.00000000,0.00,,710.00,710.00,SP,,464,F,,,0,,
559,PC-1510/001,PV,2015-10-27,2015-10-27,2015-10-27,VIEWNET COMPUTER SYSTEM SDN BHD,PAYMENT FOR PRINTER AND WIRI ROUTER.  REFER INV878974 & INV878975,"308-000",KL,----,----,BANK,Credit Card,----,1.00000000,0.00,,538.00,538.00,,,478,F,,,0,,
562,PC-1510/002,PV,2015-10-27,2015-10-27,2015-10-27,SRI COMPUTERS SDN BHD,Payment For Wireless Keyboard Purchase.  Refer Invoice 1027968,"308-000",KL,----,----,BANK,Cash,----,1.00000000,0.00,,149.00,149.00,,,479,F,,,0,,
564,PC-1510/003,PV,2015-10-28,2015-10-28,2015-10-28,FOO YAU TRADING,Payment For Office Refreshment.  Refer Invoice POS/32822,"308-000",KL,----,----,BANK,Cash,----,1.00000000,0.00,,22.25,22.25,,,480,F,,,0,,
566,PC-1510/004,PV,2015-10-29,2015-10-29,2015-10-29,GAN CHEE WEI,Payment For Parking Claim,"308-000",KL,----,----,BANK,Cash,----,1.00000000,0.00,,158.00,158.00,,,481,F,,,0,,
1650,OR-00059,OR,2015-05-08,2015-05-08,2015-05-08,SUKI TECHNOLOGY SDN BHD,Payment For Account,"301-001",----,----,----,BANK,"388103",----,1.00000000,0.00,,3842.50,3842.50,PM,,942,F,,,0,,
570,OR-00060,OR,2015-06-15,2015-06-15,2015-06-15,DOMINANT OPTO TECHNOLOGIES SDN BHD,Payment For Account,"301-001",MLK,----,----,BANK,IBG,----,1.00000000,0.00,,795.00,795.00,PM,,484,F,,,0,,
572,OR-00058,OR,2015-05-08,2015-05-08,2015-05-08,G&D TECHNOLOGIES SDN BHD,Payment For Account,"301-001",MLK,----,----,BANK,"418118",----,1.00000000,0.00,,3922.00,3922.00,PM,,485,F,,,0,,
574,OR-M15/10/001,OR,2015-07-30,2015-07-30,2015-07-30,DOMINANT OPTO TECHNOLOGIES SDN BHD,Payment For Account,"301-001",MLK,----,----,BANK,IBG797136,----,1.00000000,0.00,,2597.00,2597.00,PM,,486,F,,,0,,
576,OR-M15/10/002,OR,2015-10-30,2015-10-30,2015-10-30,INTEL TECHNOLOGY SDN BHD,Payment For Account,"309-000",MLK,----,----,BANK,Cash,----,1.00000000,0.00,,8447.67,8447.67,PM,,487,F,,,0,,
578,OR-00062,OR,2015-07-06,2015-07-06,2015-07-06,SUKI TECHNOLOGY SDN BHD,Payment For Account,"301-001",MLK,----,----,BANK,"388184",----,1.00000000,0.00,,1568.80,1568.80,PM,,488,F,,,0,,
581,OR-M15/11/001,OR,2015-11-30,2015-11-30,2015-11-30,INTEL TECHNOLOGY SDN BHD,Payment For Account,"309-000",MLK,----,----,BANK,Cash,----,1.00000000,0.00,,39370.68,39370.68,PM,,489,F,,,0,,
583,OR-M15/11/002,OR,2015-08-18,2015-08-18,2015-08-18,SUKI TECHNOLOGY SDN BHD,Payment For Account,"301-001",MLK,----,----,BANK,"388187",----,1.00000000,0.00,,6275.20,6275.20,PM,,490,F,,,0,,
586,PV-M1509/001,PV,2015-09-30,2015-09-30,2015-09-30,ACCULEX SDN BHD,Payment For Invoice,"309-000",MLK,----,----,BANK,Cash,----,1.00000000,0.00,,3498.00,3498.00,SP,,491,F,,,0,,
589,PV-M1509/002,PV,2015-09-30,2015-09-30,2015-09-30,JSP MACHINE ENGINEERING,Payment For Invoice,"309-000",MLK,----,----,BANK,Cash,----,1.00000000,0.00,,137.80,137.80,SP,,492,F,,,0,,
591,PV-M1509/003,PV,2015-09-30,2015-09-30,2015-09-30,NEUROTECH SDN BHD,Payment For Invoice,"309-000",MLK,----,----,BANK,Cash,----,1.00000000,0.00,,23267.00,23267.00,SP,,493,F,,,0,,
593,PV-M1510/001,PV,2015-10-31,2015-10-31,2015-10-31,ACCULEX SDN BHD,Payment For Invoice,"309-000",MLK,----,----,BANK,Cash,----,1.00000000,0.00,,3498.00,3498.00,SP,,494,F,,,0,,
595,PV-1501/001,PV,2015-01-01,2015-01-01,2015-01-01,GAN CHEE WEI,Payment For Refund,"301-001",----,----,----,BANK,PBB446986,----,1.00000000,0.50,"703-000",20000.00,20000.00,,,495,F,,,0,,
597,PV-1501/002,PV,2015-01-01,2015-01-01,2015-01-01,TRILLION SOLUTION (M) SDN BHD,Payment For Nov'14 & Dec'14 Purchase,"301-001",----,----,----,BANK,PBB446987,----,1.00000000,0.50,"703-000",618.00,618.00,,,496,F,,,0,,
599,PV-1501/003,PV,2015-01-01,2015-01-01,2015-01-01,GAN CHEE WEI,Payment For Refund,"301-001",----,----,----,BANK,PBB446992,----,1.00000000,0.50,"703-000",23225.30,23225.30,,,497,F,,,0,,
601,PV-1501/004,PV,2015-01-01,2015-01-01,2015-01-01,GAN CHEE WEI,Payment For Refund,"301-001",----,----,----,BANK,PBB446993,----,1.00000000,0.50,"703-000",398.60,398.60,,,498,F,,,0,,
603,PV-1501/005,PV,2015-01-01,2015-01-01,2015-01-01,GAN CHEE WEI,Payment For Refund,"301-001",----,----,----,BANK,PBB446994,----,1.00000000,0.50,"703-000",5000.00,5000.00,,,499,F,,,0,,
605,PV-1501/006,PV,2015-01-01,2015-01-01,2015-01-01,GAN CHEE WEI,Payment For Refund,"301-001",----,----,----,BANK,PBB446995,----,1.00000000,0.50,"703-000",3888.00,3888.00,,,500,F,,,0,,
607,PV-1501/007,PV,2015-01-01,2015-01-01,2015-01-01,GAN CHEE WEI,Payment For Refund,"301-001",----,----,----,BANK,PBB446996,----,1.00000000,0.50,"703-000",4370.00,4370.00,,,501,F,,,0,,
609,PV-1501/008,PV,2015-01-01,2015-01-01,2015-01-01,GAN CHEE WEI,Payment For Refund,"301-001",----,----,----,BANK,PBB446997,----,1.00000000,0.50,"703-000",1280.00,1280.00,,,502,F,,,0,,
611,PV-1501/009,PV,2015-01-01,2015-01-01,2015-01-01,GAN CHEE WEI,Payment For Refund,"301-001",----,----,----,BANK,PBB446998,----,1.00000000,0.50,"703-000",15000.00,15000.00,,,503,F,,,0,,
613,PV-1501/010,PV,2015-01-01,2015-01-01,2015-01-01,GAN CHEE WEI,Payment For Refund,"301-001",----,----,----,BANK,PBB446999,----,1.00000000,0.50,"703-000",3226.00,3226.00,,,504,F,,,0,,
625,PV-1503/001,PV,2015-03-12,2015-03-12,2015-03-12,FONG MING ALUMINIUM GASS WORKS,Payment For Invoice,"301-001",----,----,----,BANK,PBB447000,----,1.00000000,0.50,"703-000",3800.00,3800.00,SP,,510,F,,,0,,
